COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES,EUME,0,7,0,4,11,0,0,0,0,11
EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT),EUTE,0,49,0,0,49,0,0,0,0,49
FRANCE/GERMANY,FGER,0,2,0,0,2,0,0,0,0,2
FRANCE,FR,0,60,135,314,509,9,73,626,708,1217
FRANCE/ITALY,FRIT,0,2,0,0,2,0,0,0,0,2
GERMANY,GER,0,49,0,1,50,15,0,1,16,66
GLOBALSTAR,GLOB,0,84,0,1,85,0,0,1,1,86
GREECE,GREC,0,2,0,0,2,0,0,0,0,2
HUNGARY,HUN,0,0,0,0,0,1,0,0,1,1
INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT),IM,0,15,0,0,15,0,0,0,0,15
INDIA,IND,0,61,22,85,168,10,13,300,323,491
INDONESIA,INDO,0,12,0,0,12,1,0,0,1,13
IRAN,IRAN,0,1,0,0,1,4,4,0,8,9
IRAQ,IRAQ,0,1,0,0,1,0,0,0,0,1
IRIDIUM,IRID,0,0,0,0,0,1,0,12,13,13
ISRAEL,ISRA,0,14,0,0,14,3,7,0,10,24
INTERNATIONAL SPACE STATION,ISS,0,5,0,0,5,1,0,89,90,95
ITALY,IT,0,22,2,0,24,11,0,1,12,36
INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION (INTELSAT),ITSO,0,80,0,0,80,1,0,0,1,81
JAPAN,JPN,0,150,46,34,230,47,63,163,273,503
KAZAKHSTAN,KAZ,0,5,0,0,5,0,0,0,0,5
LITHUANIA,LTU,0,0,0,0,0,2,0,0,2,2
LUXEMBOURG,LUXE,0,2,0,0,2,0,0,0,0,2
MALAYSIA,MALA,0,7,0,0,7,0,0,0,0,7
MEXICO,MEX,0,7,0,0,7,0,0,0,0,7
NORTH ATLANTIC TREATY ORGANIZATION,NATO,0,8,0,0,8,0,0,0,0,8
NETHERLANDS,NETH,0,5,0,0,5,1,0,0,1,6
NEW ICO,NICO,0,1,0,0,1,0,0,0,0,1
NIGERIA,NIG,0,5,0,0,5,0,0,0,0,5
NORTH KOREA,NKOR,0,1,1,2,4,0,0,0,0,4
NORWAY,NOR,0,9,0,0,9,0,0,0,0,9
O3B NETWORKS,O3B,0,12,0,0,12,0,0,0,0,12
ORBITAL TELECOMMUNICATIONS SATELLITE (GLOBALSTAR),ORB,0,41,0,0,41,0,0,0,0,41
PAKISTAN,PAKI,0,4,0,0,4,1,0,0,1,5
PERU,PER,0,1,0,0,1,2,0,0,2,3
POLAND,POL,0,2,0,0,2,1,0,0,1,3
PORTUGAL,POR,0,1,0,0,1,0,0,0,0,1
PEOPLES REPUBLIC OF CHINA,PRC,0,177,90,3437,3704,67,112,952,1131,4835
REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORG,RASC,0,2,0,0,2,0,0,0,0,2
REPUBLIC OF CHINA (TAIWAN),ROC,0,9,0,0,9,0,0,0,0,9
ROMANIA,ROM,0,0,0,0,0,1,0,0,1,1
REPUBLIC OF PHILIPPINES,RP,0,1,0,0,1,0,0,0,0,1
SOUTH AFRICA,SAFR,0,4,0,0,4,0,0,0,0,4
SAUDI ARABIA,SAUD,0,13,0,0,13,0,0,0,0,13
SEA LAUNCH DEMO,SEAL,0,1,30,3,34,0,3,0,3,37
SOCIÉTÉ EUROPÉENNE DES SATELLITES,SES,0,54,0,0,54,1,0,0,1,55
SINGAPORE,SING,0,4,0,0,4,0,0,0,0,4
SOUTH KOREA,SKOR,0,17,1,0,18,1,0,0,1,19
SPAIN,SPN,0,18,0,0,18,2,0,0,2,20
SINGAPORE/TAIWAN,STCT,0,2,0,0,2,0,0,0,0,2
SWEDEN,SWED,0,11,0,0,11,0,0,0,0,11
SWITZERLAND,SWTZ,0,2,0,0,2,0,0,0,0,2
TO BE DETERMINED/UNKNOWN,TBD,0,2,1,1,4,0,0,0,0,4
THAILAND,THAI,0,8,0,0,8,0,0,0,0,8
TURKMENISTAN/MONACO,TMMC,0,1,0,0,1,0,0,0,0,1
TURKEY,TURK,0,10,0,0,10,0,0,0,0,10
UNITED ARAB EMIRATES,UAE,0,7,0,0,7,0,0,0,0,7
UNITED KINGDOM,UK,0,35,1,0,36,9,0,4,13,49
UKRAINE,UKR,0,1,0,0,1,0,0,0,0,1
URUGUAY,URY,0,1,0,0,1,0,0,0,0,1
UNITED STATES OF AMERICA,US,0,1245,665,3288,5198,886,653,4383,5922,11120
UNITED STATES/BRAZIL,USBZ,0,1,0,0,1,0,0,0,0,1
VENEZUELA,VENZ,0,2,0,0,2,0,0,0,0,2
VIETNAM,VTNM,0,3,0,0,3,2,0,0,2,5
ALL,ALL,0,4047,2025,11086,17158,3099,3730,16678,23507,40665
